Name,WeightClassKg,BodyweightKg,Sex,Division,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Country
Grishin Denis,75,74.6,M,M-J (20 - 23) -WPC,190,205,-215.5,,205,135,140,145,,145,220,230,-240,,230,580,2,SBD,Raw,RUS
Kelin Dmitry,75,74.2,M,M-J (20 - 23) -WPC,175,185,190,,190,140,150,152.5,,152.5,215,-227.5,-227.5,,215,557.5,3,SBD,Raw,RUS
Vardanyan Arsen,75,73.9,M,M-J (20 - 23) -WPC,180,-190,200,,200,120,130,135,,135,-220,220,-222.5,,220,555,4,SBD,Raw,RUS
Dekkert Yevgeny,75,74.5,M,M-O -WPC,182.5,195,202.5,,202.5,-130,130,-140,,130,240,252.5,260,,260,592.5,1,SBD,Raw,RUS
Povazhnyuk Igor,75,74.3,M,M-O -WPC,180,192.5,-200,,192.5,137.5,142.5,147.5,,147.5,210,230,-245,,230,570,2,SBD,Raw,UKR
Dyatlov Andriy,75,73.9,M,M-O -WPC,170,-182.5,-182.5,,170,140,145,-150,,145,220,235,-255,,235,550,3,SBD,Raw,UKR
Ahmadov Eldaniz,75,73.45,M,M-O -WPC,-180,190,200,,200,115,125,-127.5,,125,190,-210,-210,,190,515,4,SBD,Raw,AZE
Pereladov Gennady,75,72.9,M,M-M (70 - 74) -WPC,110,120,-130,,120,80,85,90,,90,160,170,180,,180,390,1,SBD,Raw,RUS
Konovalov Sergei,82.5,81.4,M,M-O -WPC,230,240,250,,250,190,202.5,210,,210,270,285,292.5,,292.5,752.5,1,SBD,Raw,RUS
Willy Albert,82.5,81.75,M,M-O -WPC,235,245,252.5,,252.5,145,155,160,,160,290,310,317.5,325,317.5,730,2,SBD,Raw,CAN
Shiraliyev Samir,82.5,82.5,M,M-O -WPC,-240,245.5,253,260,253,180,-190,-190,,180,250,260,-270,,260,692.5,3,SBD,Raw,AZE
Tomchin Maxim,82.5,82.4,M,M-O -WPC,225,240,245.5,-253.5,245.5,150,157.5,-165,,157.5,235,252.5,265,,265,667.5,4,SBD,Raw,RUS
Boyarshinov Vladimir,82.5,80.25,M,M-M (45 - 49) -WPC,150,160,-200,,160,90,110,-115,,110,230,250,-270,,250,520,1,SBD,Raw,RUS
Chepets Yuri,82.5,79.5,M,M-M (65 - 69) -WPC,-190,190,,,190,135,140,145,147.5,145,180,200,,,200,535,1,SBD,Raw,RUS
Yakushov Vyacheslav,82.5,82.1,M,M-M (65 - 69) -WPC,160,165,167.5,,167.5,-105,105,,,105,180,190,200.5,,200.5,472.5,2,SBD,Raw,RUS
Sergeiev Mykola,90,89.4,M,M-T (18 - 19) -WPC,190,205,210,,210,165,175,-180,,175,210,225,235,,235,620,1,SBD,Raw,UKR
Panaskin Alexander,90,89.6,M,M-T (18 - 19) -WPC,180,200,-207.5,,200,140,150,160,,160,210,230,-261,,230,590,2,SBD,Raw,RUS
Kravchenko Yevgeny,90,90,M,M-J (20 - 23) -WPC,235,250,255,,255,145,160,162.5,,162.5,305,325,330,,330,747.5,1,SBD,Raw,RUS
Hajiyev Bali,90,88.8,M,M-J (20 - 23) -WPC,220,235,250,,250,155,162.5,167.5,,167.5,280,305,-325,,305,722.5,2,SBD,Raw,AZE
Grigoryev Vladimir,90,89.9,M,M-J (20 - 23) -WPC,230,-245,-245,,230,150,-160,-160,,150,250,260,,,260,640,3,SBD,Raw,RUS
Feshchuk Kostyantyn,90,89.8,M,M-J (20 - 23) -WPC,-225,-225,-250,,,,,,,,,,,,,,DQ,SBD,Raw,UKR
Merkulov Alexei,90,89.75,M,M-O -WPC,255,265,275,,275,200,210,215,,215,260,270,280,,280,770,1,SBD,Raw,RUS
Umerenkov Igor,90,89.7,M,M-O -WPC,235,247.5,255,,255,180,185,190,,190,285,300,305,,305,750,2,SBD,Raw,RUS
Fitkevich Denys,90,88.7,M,M-O -WPC,240,255,270,,270,175,185,195,,195,240,260,280,,280,745,3,SBD,Raw,UKR
Dmitryev Ivan,90,89.3,M,M-O -WPC,-230,230,240,,240,170,180,185,,185,300,320,-327.5,,320,745,4,SBD,Raw,RUS
Vasyunin Ivan,90,89.4,M,M-O -WPC,220,245,260,,260,200,210,-220,,210,240,265,275,,275,745,5,SBD,Raw,RUS
Kelep Nikolai,90,88.9,M,M-O -WPC,225,-240,-240,,225,195,-205,205,,205,270,290,-315,,290,720,6,SBD,Raw,RUS
Zhabin Vladimir,90,89.5,M,M-O -WPC,215,230,-240,,230,175,-185,-185,,175,270,282.5,292.5,,292.5,697.5,7,SBD,Raw,RUS
Cherednichenko Yuriy,90,89.9,M,M-O -WPC,240,255,-270,,255,170,-182.5,-182.5,,170,250,265,-280,,265,690,8,SBD,Raw,UKR
Kravchenko Vyacheslav,90,89.9,M,M-O -WPC,240,250,260,,260,150,-150,-150,,150,,,,,,,DQ,SBD,Raw,UKR
Vrublevskiy Oleg,90,86.65,M,M-M (40 - 44) -WPC,160,-170,170,,170,135,-140,-140,,135,180,195,-200,,195,500,1,SBD,Raw,RUS
Babenko Viktor,90,89.8,M,M-M (45 - 49) -WPC,170,200,210,,210,120,140,150,,150,200,240,250,260,250,610,1,SBD,Raw,UKR
Baranov Olexandr,90,87.9,M,M-M (50 - 54) -WPC,165,175,180,,180,105,-115,115,,115,185,205,215,,215,510,1,SBD,Raw,UKR
Nugumanov Valery,90,87.75,M,M-M (70 - 74) -WPC,170,180,190,,190,110,-115,115,,115,180,190,,,190,495,1,SBD,Raw,RUS
Verdiyev Hafiz,100,94.95,M,M-T (18 - 19) -WPC,200,225,-235,,225,140,155,-160,,155,240,255,-265,,255,635,1,SBD,Raw,AZE
Alexandrov Yuri,100,99.3,M,M-T (18 - 19) -WPC,170,180,195,,195,100,110,-117.5,,110,190,205,215,-220,215,520,2,SBD,Raw,RUS
Mitrofanov Alexander,100,99.75,M,M-J (20 - 23) -WPC,250,270,280,,280,170,180,-185,,180,292.5,310,-315,,310,770,1,SBD,Raw,RUS
Lukyanov Sergei,100,99.55,M,M-J (20 - 23) -WPC,250,260,270,,270,170,180,185,,185,280,292.5,300,315,300,755,2,SBD,Raw,RUS
Blinkov Yevgeny,100,93.75,M,M-J (20 - 23) -WPC,-235,235,-250,,235,162.5,172.5,182.5,,182.5,237.5,250,260,,260,677.5,3,SBD,Raw,RUS
Yukhanov Alexander,100,99.75,M,M-J (20 - 23) -WPC,220,230,-240,,230,135,,,,135,270,290,300,,300,665,4,SBD,Raw,RUS
Kopyl Dmitry,100,97.5,M,M-J (20 - 23) -WPC,220,240,-260,,240,-160,160,-180,,160,240,260,-277.5,,260,660,5,SBD,Raw,RUS
Doga Arsen,100,97.8,M,M-J (20 - 23) -WPC,-200,200,-220,,200,-135,140,-150,,140,230,250,-265,,250,590,6,SBD,Raw,UKR
Miksha Stanislav,100,100,M,M-J (20 - 23) -WPC,170,182.5,190,,190,140,150,-165,,150,220,-240,-240,,220,560,7,SBD,Raw,RUS
Krepitsa Zakhar,100,97.1,M,M-J (20 - 23) -WPC,-220,-220,-220,,-220,,,,,,,,,,,,DQ,SBD,Raw,RUS
Belyayev Andrei,100,99,M,M-O -WPC,300,320,,,320,210,220,230,,230,340,355,370,,370,920,1,SBD,Raw,RUS
Kysil' Andriy,100,99.3,M,M-O -WPC,315,325,330,,330,230,235,-240,,235,300,-315,-325,,300,865,2,SBD,Raw,UKR
Malyk Maxym,100,99.4,M,M-O -WPC,280,300,-310,,300,180,-190,190,,190,280,300,-310,,300,790,3,SBD,Raw,UKR
Kakoyan Gegam,100,96.8,M,M-O -WPC,250,265,270,,270,180,190,-195,,190,290,305,315,,315,775,4,SBD,Raw,RUS
Fedulov Alexander,100,100,M,M-M (40 - 44) -WPC,215,225,235,,235,170,180,185,,185,240,250,260,,260,680,1,SBD,Raw,RUS
Vinogradov Boris,100,96.6,M,M-M (40 - 44) -WPC,230,240,245,,245,172.5,177.5,-180,,177.5,245,250,255,,255,677.5,2,SBD,Raw,RUS
Laptenok Pavel,100,100,M,M-M (55 - 59) -WPC,170,180,,,180,125,132.5,137.5,,137.5,180,202.5,210,,210,527.5,1,SBD,Raw,RUS
Andrianov Alexander,100,94.2,M,M-M (65 - 69) -WPC,120,150,180,,180,130,140,,,140,160,180,190,,190,510,1,SBD,Raw,RUS
Maslennikov Maxim,110,105.5,M,M-T (18 - 19) -WPC,220,230,250,,250,180,190,200,,200,240,260,290,,290,740,1,SBD,Raw,RUS
Sekov Mikhail,110,102.95,M,M-J (20 - 23) -WPC,280,-287.5,290,,290,-190,190,-200,,190,295,305,-315,,305,785,1,SBD,Raw,RUS
Yaroshenko Sergei,110,109.7,M,M-J (20 - 23) -WPC,260,-270,-270,,260,-210,215,220,227.5,220,270,290,-315,,290,770,2,SBD,Raw,RUS
Padabed Sergei,110,107.8,M,M-J (20 - 23) -WPC,250,260,-265,,260,190,200,-207.5,,200,270,282.5,-285,,282.5,742.5,3,SBD,Raw,RUS
Smolyanyk Stanislav,110,102,M,M-J (20 - 23) -WPC,260,280,-290,,280,190,-200,-200,,190,270,-290,-290,,270,740,4,SBD,Raw,UKR
Starodubskiy Sergei,110,109.45,M,M-O -WPC,300,-330,-332.5,,300,215,-227.5,-227.5,,215,300,320,330,,330,845,1,SBD,Raw,RUS
Brylin Mikhail,110,109.5,M,M-O -WPC,275,-290,-290,,275,190,202.5,-210,,202.5,305,330,340,-350,340,817.5,2,SBD,Raw,RUS
Ayvazov Andrei,110,105.95,M,M-O -WPC,260,280,300,,300,175,185,-195,,185,300,320,330,,330,815,3,SBD,Raw,RUS
Chernyavskiy Oleg,110,110,M,M-O -WPC,260,280,290,,290,190,200,205,,205,280,300,310,,310,805,4,SBD,Raw,RUS
Jay Nera,110,107.65,M,M-O -WPC,282.5,295,302.5,,302.5,185,195,-197.5,,195,275,300,-315,,300,797.5,5,SBD,Raw,CAN
Chernyavskiy Oleg,110,110,M,M-M (40 - 44) -WPC,260,280,290,,290,190,200,205,,205,280,300,310,,310,805,1,SBD,Raw,RUS
Kovtunov Andrei,110,107.65,M,M-M (40 - 44) -WPC,220,240,250,,250,180,-200,-200,,180,230,250,270,,270,700,2,SBD,Raw,RUS
Ladeyshchikov Vladimir,110,104.25,M,M-M (40 - 44) -WPC,210,220,230,,230,140,-150,150,,150,220,235,250,,250,630,3,SBD,Raw,RUS
Gimbarov Andriy,110,106,M,M-M (40 - 44) -WPC,90,-120,,,90,,,,,,,,,,,,DQ,SBD,Raw,UKR
Akhmetov Ruslan,110,107.2,M,M-M (45 - 49) -WPC,210,230,250,,250,120,140,,,140,200,230,,,230,620,1,SBD,Raw,RUS
Savelyev Valentin,110,102.65,M,M-M (55 - 59) -WPC,140,-160,-170,,140,120,-140,,,120,160,190,220,,220,480,1,SBD,Raw,RUS
Kasko Ilya,125,114.25,M,M-J (20 - 23) -WPC,200,210,-215,,210,150,160,170,,170,230,250,260,,260,640,1,SBD,Raw,RUS
Agaev Rufat,125,112.8,M,M-O -WPC,300,320,332.5,,332.5,210,217.5,222.5,,222.5,327.5,352.5,360,,360,915,1,SBD,Raw,AZE
Simonyan Kamo,125,115.4,M,M-O -WPC,310,330,350,,350,210,222.5,-230,,222.5,310,335,-342.5,,335,907.5,2,SBD,Raw,RUS
Petrov Andrei,125,114.3,M,M-O -WPC,300,310,-320,,310,200,205,-210,,205,270,285,292.5,,292.5,807.5,3,SBD,Raw,RUS
Mazur Vasiliy,125,110.6,M,M-O -WPC,260,280,-300,,280,200,-205,-205,,200,300,310,-327.5,,310,790,4,SBD,Raw,MLD
Kukhnevskiy Andrei,125,118.4,M,M-O -WPC,-280,-280,280,,280,220,-230,-230,,220,280,-300,,,280,780,5,SBD,Raw,RUS
Shomakhov Amirkhan,125,123.75,M,M-M (40 - 44) -WPC,-250,,,,-250,,,,,,,,,,,,DQ,SBD,Raw,RUS
Chernov Nikolai,125,119.9,M,M-M (45 - 49) -WPC,-245,-245,245,,245,-160,-160,170,,170,245,260,-270,,260,675,1,SBD,Raw,RUS
Tsvetayev Alexander,140,132.25,M,M-J (20 - 23) -WPC,260,270,-275,,270,192.5,-197.5,197.5,,197.5,285,-,,,285,752.5,1,SBD,Raw,RUS
Bashkov Mikhail,140,128,M,M-J (20 - 23) -WPC,230,-250,-250,,230,155,170,175,,175,250,270,290,-300,290,695,2,SBD,Raw,RUS
Gryn' Andriy,140,129.5,M,M-O -WPC,290,310,320,,320,230,-235,235,,235,290,-310,-310,,290,845,1,SBD,Raw,UKR
Lomov Igor,140,135.3,M,M-O -WPC,-280,280,300,310,300,210,220,230,237.5,230,300,312.5,-320,,312.5,842.5,2,SBD,Raw,RUS
Konstantinovs Konstantins,140,129,M,M-O -WPC,200,,,,200,200,230,,,230,410,,-420,,410,840,3,SBD,Raw,LAT
Gryn' Andriy,140,129.5,M,M-M (40 - 44) -WPC,290,310,320,,320,230,-235,235,,235,290,-310,-310,,290,845,1,SBD,Raw,UKR
Sarychev Kirill,140+,150.2,M,M-J (20 - 23) -WPC,200,,,,200,260,275,285,,285,300,,,,300,785,1,SBD,Raw,RUS
Snigirev Valeriy,140+,140.1,M,M-O -WPC,300,320,335,,335,230,240,250,,250,320,335,-350,,335,920,1,SBD,Raw,RUS
Polyakov Roman,140+,148,M,M-O -WPC,-290,290,320,,320,220,230,250,,250,280,300,-320,,300,870,2,SBD,Raw,RUS
Sarychev Kirill,140+,150.2,M,M-O -WPC,200,,,,200,260,275,285,,285,300,,,,300,785,3,SBD,Raw,RUS
Namazov Vuqar,140+,146.9,M,M-O -WPC,-335,-335,-335,,-335,,,,,,,,,,,,DQ,SBD,Raw,AZE
Stefanova Yevgeniya,44,42.5,F,F-T -WPC,,,,,,37.5,40,-42.5,,40,,,,,,40,1,SBD,Raw,UKR
Solodilova Svetlana,48,46.85,F,F-J -WPC,,,,,,45,-50,-50,,45,,,,,,45,1,SBD,Raw,RUS
Antipova Agnessa,52,51.9,F,F-O -WPC,,,,,,70,-75,75,,75,,,,,,75,1,SBD,Raw,RUS
Semenova Alla,52,50.3,F,F-O -WPC,,,,,,50,55,-60,,55,,,,,,55,2,SBD,Raw,RUS
Starygina Natalya,56,56,F,F-O -WPC,,,,,,77.5,82.5,-87.5,,82.5,,,,,,82.5,1,SBD,Raw,RUS
Podelko Alena,60,58.2,F,F-T -WPC,,,,,,50,55,-60,,55,,,,,,55,1,SBD,Raw,RUS
Kalugina Tetyana,60,58.6,F,F-O -WPC,,,,,,92.5,97.5,-100,,97.5,,,,,,97.5,1,SBD,Raw,UKR
Bako Tatyana,60,60,F,F-O -WPC,,,,,,65,-67.5,67.5,,67.5,,,,,,67.5,2,SBD,Raw,RUS
Konovalova Natalya,60,58,F,F-O -WPC,,,,,,-102.5,-102.5,-102.5,,,,,,,,,DQ,SBD,Raw,RUS
Natalya Lovtsova,67.5,64.2,F,F-J -WPC,,,,,,90,100,-105,,100,,,,,,100,1,SBD,Raw,RUS
Piatrovich Iryna,67.5,66.3,F,F-O -WPC,,,,,,105,117.5,120,,120,,,,,,120,1,SBD,Raw,BLR
Venglovskaya Liliya,67.5,67.4,F,F-O -WPC,,,,,,90,97.5,-100,,97.5,,,,,,97.5,2,SBD,Raw,MLD
Khristoforova Maryna,67.5,63.7,F,F-O -WPC,,,,,,90,95,-100,,95,,,,,,95,3,SBD,Raw,UKR
Khristoforova Maryna,67.5,63.7,F,F-M -WPC,,,,,,90,95,-100,,95,,,,,,95,1,SBD,Raw,UKR
Shabanova Nadezhda,67.5,65.1,F,F-M -WPC,,,,,,57.5,62.5,65,,65,,,,,,65,1,SBD,Raw,RUS
Shmyrina Mariya,75,74.2,F,F-T -WPC,,,,,,65,70,72.5,,72.5,,,,,,72.5,1,SBD,Raw,RUS
Odintsova Svetlana,75,74.3,F,F-O -WPC,,,,,,87.5,92.5,95,,95,,,,,,95,1,SBD,Raw,RUS
Odintsova Svetlana,75,74.3,F,F-M -WPC,,,,,,87.5,92.5,95,,95,,,,,,95,1,SBD,Raw,RUS
Turayeva Anna,82.5,75.8,F,F-O -WPC,,,,,,115,125,132.5,,132.5,,,,,,132.5,1,SBD,Raw,RUS
Yudina Inna,82.5,75.5,F,F-O -WPC,,,,,,55,62.5,-70,,62.5,,,,,,62.5,2,SBD,Raw,UKR
Gorbunov Oleg,52,50.6,M,M-T -WPC,,,,,,100,-110,-110,,100,,,,,,100,1,SBD,Raw,UKR
Klochkov Yuri,52,51.5,M,M-M -WPC,,,,,,65,70,75,-77.5,75,,,,,,75,1,SBD,Raw,RUS
Leshchyk Anton,56,56,M,M-J -WPC,,,,,,100,110,-115,,110,,,,,,110,1,SBD,Raw,UKR
Beliyev Asif,56,56,M,M-O -WPC,,,,,,80,85,90,,90,,,,,,90,1,SBD,Raw,AZE
Gornyy Olexiy,60,58,M,M-T -WPC,,,,,,-80,85,-90.5,,85,,,,,,85,1,SBD,Raw,UKR
Cernat Eduard,60,58.5,M,M-J -WPC,,,,,,107.5,115,-120,,115,,,,,,115,1,SBD,Raw,MLD
Fomin Daniil,67.5,63.4,M,M-T -WPC,,,,,,82.5,90,95,,95,,,,,,95,1,SBD,Raw,UKR
Ustinov Vladimir,67.5,67.5,M,M-J -WPC,,,,,,125,135,142.5,-147.5,142.5,,,,,,142.5,1,SBD,Raw,RUS
Allahverdiyev Ilham,67.5,66.9,M,M-O -WPC,,,,,,150,160,-170,,160,,,,,,160,1,SBD,Raw,AZE
Rode Alexander,67.5,67,M,M-O -WPC,,,,,,136,-152.5,,,136,,,,,,136,2,SBD,Raw,RUS
Lyapustin Alexei,67.5,66.4,M,M-M -WPC,,,,,,-130,-130,130,,130,,,,,,130,1,SBD,Raw,RUS
Kiselev Yuri,67.5,67,M,M-M -WPC,,,,,,75,80,,,80,,,,,,80,1,SBD,Raw,RUS
Manyukov Alexei,75,72.3,M,M-T -WPC,,,,,,80,85,-90,,85,,,,,,85,1,SBD,Raw,RUS
Golovin Maxym,75,73.6,M,M-T -WPC,,,,,,107.5,117.5,-120.5,,117.5,,,,,,117.5,1,SBD,Raw,UKR
Yurov Vyacheslav,75,73.8,M,M-T -WPC,,,,,,130,-140,145,146,145,,,,,,145,1,SBD,Raw,RUS
Kelin Dmitry,75,74.6,M,M-J -WPC,,,,,,140,150,-155,,150,,,,,,150,1,SBD,Raw,RUS
Vardanyan Arsen,75,74,M,M-J -WPC,,,,,,120,130,-140,,130,,,,,,130,2,SBD,Raw,RUS
Grishko Sergei,75,73,M,M-O -WPC,,,,,,190,200,-207.5,,200,,,,,,200,1,SBD,Raw,RUS
Krastelev Sergei,75,75,M,M-O -WPC,,,,,,170,177.5,182.5,,182.5,,,,,,182.5,2,SBD,Raw,RUS
Rzayev Ramin,75,73.2,M,M-O -WPC,,,,,,160,172.5,-177.5,,172.5,,,,,,172.5,3,SBD,Raw,AZE
Kudryavtsev Andriy,75,73,M,M-O -WPC,,,,,,-162.5,170,-177.5,,170,,,,,,170,4,SBD,Raw,UKR
Zuzuk Roman,75,73.85,M,M-O -WPC,,,,,,-170,170,-182.5,,170,,,,,,170,5,SBD,Raw,UKR
Pereladov Gennadiy,75,73,M,M-M -WPC,,,,,,85,90,-95,,90,,,,,,90,6,SBD,Raw,RUS
Pinchuk Anton,82.5,81.9,M,M-O -WPC,,,,,,200,212.5,217.5,,217.5,,,,,,217.5,1,SBD,Raw,RUS
Dudnikov Alexander,82.5,82.5,M,M-O -WPC,,,,,,200,207.5,-218,,207.5,,,,,,207.5,2,SBD,Raw,RUS
Konovalov Sergei,82.5,82,M,M-O -WPC,,,,,,202.5,-207.5,-215,,202.5,,,,,,202.5,3,SBD,Raw,RUS
Netkach Maxim,82.5,82.5,M,M-O -WPC,,,,,,185,195,-200,,195,,,,,,195,4,SBD,Raw,RUS
Asgarov Ali,82.5,81.15,M,M-O -WPC,,,,,,170,180,-185,,180,,,,,,180,5,SBD,Raw,AZE
Mikheyev Nikolai,82.5,81.6,M,M-O -WPC,,,,,,165,175,-185,,175,,,,,,175,6,SBD,Raw,RUS
Aliyev Sarkhan,82.5,82.25,M,M-O -WPC,,,,,,160,-170,,,160,,,,,,160,7,SBD,Raw,AZE
Arkhipov Artem,82.5,78.95,M,M-O -WPC,,,,,,-177.5,-177.5,-180,,,,,,,,,DQ,SBD,Raw,RUS
Kukharenko Dmitry,82.5,82.1,M,M-M -WPC,,,,,,160,165,170,175,170,,,,,,170,1,SBD,Raw,RUS
Avdonin Georgy,82.5,82.4,M,M-M -WPC,,,,,,150,155,-165.5,,155,,,,,,155,2,SBD,Raw,RUS
Stoyanov Valery,82.5,79.15,M,M-M -WPC,,,,,,100,110,115,,115,,,,,,115,1,SBD,Raw,RUS
Kuznetsov Boris,82.5,81.7,M,M-M -WPC,,,,,,-130,-130,-130,,,,,,,,,DQ,SBD,Raw,RUS
Druzhkov Sergei,82.5,82.25,M,M-M -WPC,,,,,,130,140,-145,,140,,,,,,140,1,SBD,Raw,RUS
Chepets Yuri,82.5,78.8,M,M-M -WPC,,,,,,135,140,142.5,,142.5,,,,,,142.5,1,SBD,Raw,RUS
Sergeiev Mykola,90,88,M,M-T -WPC,,,,,,165,175,-180,,175,,,,,,175,1,SBD,Raw,UKR
Gaysin Svyatoslav,90,89,M,M-J -WPC,,,,,,185,200,207.5,,207.5,,,,,,207.5,1,SBD,Raw,RUS
Batorevich Yevgeny,90,89,M,M-J -WPC,,,,,,165,-175,-175,,165,,,,,,165,2,SBD,Raw,RUS
Koshkin Sergei,90,86.9,M,M-O -WPC,,,,,,220,-227.5,-232.5,,220,,,,,,220,1,SBD,Raw,RUS
Vasyunin Ivan,90,89.25,M,M-O -WPC,,,,,,202.5,207.5,-222.5,,207.5,,,,,,207.5,2,SBD,Raw,RUS
Selivanov Petr,90,87.9,M,M-O -WPC,,,,,,195,205,-212.5,,205,,,,,,205,3,SBD,Raw,RUS
Kelep Nikolai,90,89.1,M,M-O -WPC,,,,,,202.5,-205,-207.5,,202.5,,,,,,202.5,4,SBD,Raw,RUS
Sanin Mykola,90,89.8,M,M-O -WPC,,,,,,190,-205,,,190,,,,,,190,5,SBD,Raw,UKR
Zamchalov Oleg,90,88.5,M,M-O -WPC,,,,,,-185,185,-192.5,,185,,,,,,185,6,SBD,Raw,RUS
Shcherbakov Alexander,90,89.5,M,M-M -WPC,,,,,,185,195,207.5,,207.5,,,,,,207.5,1,SBD,Raw,MLD
Chechulin Sergei,90,89,M,M-M -WPC,,,,,,152.5,160,165,,165,,,,,,165,2,SBD,Raw,RUS
Gorbunov Vyacheslav,90,86.6,M,M-M -WPC,,,,,,150,157.5,-162.5,,157.5,,,,,,157.5,3,SBD,Raw,UKR
Babenko Viktor,90,88.8,M,M-M -WPC,,,,,,135,145,-160,,145,,,,,,145,1,SBD,Raw,UKR
Shubin Igor,90,89.4,M,M-M -WPC,,,,,,130,-140,-140,,130,,,,,,130,2,SBD,Raw,UKR
Baranov Olexandr,90,88,M,M-M -WPC,,,,,,100,105,110,,110,,,,,,110,1,SBD,Raw,UKR
Mertsalov Vasily,90,88.7,M,M-M -WPC,,,,,,132.5,-142.5,142.5,-150,142.5,,,,,,142.5,1,SBD,Raw,RUS
Chesnokov Fedor,90,87,M,M-M -WPC,,,,,,130,140,-145,,140,,,,,,140,2,SBD,Raw,RUS
Yakushov Vyacheslav,90,83,M,M-M -WPC,,,,,,100,108,-110,,108,,,,,,108,1,SBD,Raw,RUS
Malyshev Vladimir,90,84.9,M,M-M -WPC,,,,,,125,132.5,-135,,132.5,,,,,,132.5,1,SBD,Raw,RUS
Nugumanov Valery,90,87.75,M,M-M -WPC,,,,,,115,120,125,,125,,,,,,125,2,SBD,Raw,RUS
Panaskin Alexander,100,93.5,M,M-T -WPC,,,,,,140,155,165,-171,165,,,,,,165,1,SBD,Raw,RUS
Borshchev Alexander,100,94.5,M,M-J -WPC,,,,,,190,205,215,-217.5,215,,,,,,215,1,SBD,Raw,RUS
Kakhuta Vadim,100,97.7,M,M-O -WPC,,,,,,240,250,-255,,250,,,,,,250,1,SBD,Raw,RUS
Kushin Igor,100,99.5,M,M-O -WPC,,,,,,240,250,-255,,250,,,,,,250,2,SBD,Raw,RUS
Fedyayev Vasily,100,98.8,M,M-O -WPC,,,,,,225,235,-252.5,,235,,,,,,235,3,SBD,Raw,RUS
Imesch Rene,100,95.95,M,M-O -WPC,,,,,,220,230,-235,,230,,,,,,230,4,SBD,Raw,SUI
Popov Sergei,100,99.75,M,M-O -WPC,,,,,,215,-227.5,-227.5,,215,,,,,,215,5,SBD,Raw,RUS
Lygin Sergei,100,98.3,M,M-O -WPC,,,,,,200,210,-220,,210,,,,,,210,6,SBD,Raw,RUS
Dmitryuk Stanislav,100,99.3,M,M-O -WPC,,,,,,210,-220,-220,,210,,,,,,210,7,SBD,Raw,RUS
Didovik Sergiy,100,99.4,M,M-O -WPC,,,,,,210,-222.5,-222.5,,210,,,,,,210,8,SBD,Raw,UKR
Popov Alexander,100,92.4,M,M-O -WPC,,,,,,-190,-190,,,,,,,,,,DQ,SBD,Raw,RUS
Kubyshkin Maxim,100,99,M,M-O -WPC,,,,,,-205,-215,,,,,,,,,,DQ,SBD,Raw,RUS
Kochkarov Azamat,100,99.7,M,M-O -WPC,,,,,,-200,-200,-200,,,,,,,,,DQ,SBD,Raw,RUS
Kushin Igor,100,99.5,M,M-M -WPC,,,,,,240,250,-255,,250,,,,,,250,1,SBD,Raw,RUS
Vinogradov Boris,100,96,M,M-M -WPC,,,,,,160,165,170,,170,,,,,,170,2,SBD,Raw,RUS
Fedulov Alexander,100,99,M,M-M -WPC,,,,,,-175,,,,,,,,,,,DQ,SBD,Raw,RUS
Imesch Rene,100,95.25,M,M-M -WPC,,,,,,220,230,-235,,230,,,,,,230,2,SBD,Raw,SUI
Dmitryev Alexander,100,100,M,M-M -WPC,,,,,,200,210,-220,,210,,,,,,210,1,SBD,Raw,RUS
Khromenkov Olexiy,100,97,M,M-M -WPC,,,,,,122.5,127.5,132.5,,132.5,,,,,,132.5,1,SBD,Raw,UKR
Laptenok Pavel,100,100,M,M-M -WPC,,,,,,130,140,145,,145,,,,,,145,1,SBD,Raw,RUS
Bolshov Vladimir,100,93.4,M,M-M -WPC,,,,,,120,125,-130,,125,,,,,,125,1,SBD,Raw,RUS
Andrianov Alexander,100,94.2,M,M-M -WPC,,,,,,130,142.5,-150,,142.5,,,,,,142.5,1,SBD,Raw,RUS
Darsht Alexander,110,102.5,M,M-J -WPC,,,,,,220,230,232.5,,232.5,,,,,,232.5,1,SBD,Raw,RUS
Yaroshenko Sergei,110,109.1,M,M-J -WPC,,,,,,210,227.5,-232.5,,227.5,,,,,,227.5,2,SBD,Raw,RUS
Trepshin Valentin,110,108.3,M,M-J -WPC,,,,,,185,197.5,210,,210,,,,,,210,3,SBD,Raw,RUS
Smolyanyk Stanislav,110,106,M,M-J -WPC,,,,,,-190,-190,-200,,,,,,,,,DQ,SBD,Raw,UKR
Csepregi Zoltan,110,106.8,M,M-O -WPC,,,,,,230,240,-245,,240,,,,,,240,1,SBD,Raw,HUN
Polutin Sergiy,110,107.3,M,M-O -WPC,,,,,,225,232.5,235,,235,,,,,,235,2,SBD,Raw,UKR
Seleznev Sergei,110,107.6,M,M-O -WPC,,,,,,220,235,-242.5,,235,,,,,,235,3,SBD,Raw,RUS
Luchkov Andrei,110,109.8,M,M-O -WPC,,,,,,222.5,232.5,-237.5,,232.5,,,,,,232.5,4,SBD,Raw,RUS
Saydentsal Oleg,110,106.5,M,M-O -WPC,,,,,,215,230,-237.5,,230,,,,,,230,5,SBD,Raw,RUS
