OPL Format v1,Submit by email:,issues@openpowerlifting.org,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Federation,Date,MeetCountry,MeetState,MeetTown,MeetName,Formula,,,,,,,,,,,,,,,,,,,
2,Hyrum Yabut,,M,1994,28,,,Raw,Men's Open,59,59,165,175,182.5,182.5,105,112.5,-115,112.5,210,220,-237.5,220,515,SBD
3,Paulo Reyes,,M,1987,35,,,Raw,Men's Open,58.4,59,172.5,180,185,185,95,100,-102.5,100,205,220,-230,220,505,SBD
4,Christian Lugar,,M,1990,32,,,Raw,Men's Open,58.95,59,140,147.5,152.5,152.5,92.5,100,-105,100,-190,195,-200,195,447.5,SBD
5,Antonio Baes,,M,2003,19,,,Raw,Men's Open,58.45,59,132.5,142.5,147.5,147.5,107.5,115,-121,115,167.5,-180,180,180,442.5,SBD
6,Kenneth Yusi,,M,1987,35,,,Raw,Men's Open,58.7,59,135,140,-140,140,-102.5,102.5,-107.5,102.5,-170,180,192.5,192.5,435,SBD
7,Johnry Ojas,,M,1995,28,,,Raw,Men's Open,,59,135,142.5,150,150,85,-92.5,-92.5,85,155,165,-170,165,400,SBD
8,Nicholas Juat,,M,1998,24,,,Raw,Men's Open,58.05,59,130,-135,140,140,75,77.5,-82.5,77.5,135,145,152.5,152.5,370,SBD
9,Michael Joshua Alarcon,,M,2005,18,,,Raw,Men's Open,,59,100,110,-120,110,70,77.5,-80,77.5,125,-130,-130,125,312.5,SBD
1,Francis Oliver Retardo,,M,1990,33,,,Raw,Men's Open,65.85,66,225.5,232.5,240,240,132.5,140,-145,140,-240,240,-250,240,620,SBD
2,Alexei Laurenz L. Agabon,,M,2003,19,,,Raw,Men's Open,60.45,66,180,190.5,200,200,107.5,115,-120,115,230,240,256,256,571,SBD
3,Maphi Daniel Polvora,,M,2002,20,,,Raw,Men's Open,64.2,66,180,187.5,192.5,192.5,125,132.5,137.5,137.5,220,230,-240,230,560,SBD
4,Mervin Ortono,,M,1991,31,,,Raw,Men's Open,65.5,66,205,-215,-215,205,105,110,-115,110,230,245,-257.5,245,560,SBD
5,Jose Javier V. Mendoza,,M,1995,27,,,Raw,Men's Open,64.2,66,190,197.5,202.5,202.5,100,107.5,-110,107.5,200,210,215,215,525,SBD
6,Diamond Melendres,,M,1996,27,,,Raw,Men's Open,64.9,66,180,187.5,-192.5,187.5,115,-120,-125,115,205,220,-225,220,522.5,SBD
7,Isiah De Villa,,M,1992,31,,,Raw,Men's Open,65.2,66,167.5,180,190,190,135,142.5,-150.5,142.5,190,-202.5,-202.5,190,522.5,SBD
8,Erwin Phillippe Beronio,,M,1991,31,,,Raw,Men's Open,64.95,66,175,185,-195,185,100,-105,105,105,200,215,225,225,515,SBD
9,Archival Charlie Ariete,,M,1989,34,,,Raw,Men's Open,63.55,66,165,180,-185,180,112.5,120,-125,120,190,-205,212.5,212.5,512.5,SBD
10,Yohjin Bermejo,,M,1994,29,,,Raw,Men's Open,65,66,167.5,175,180,180,107.5,115,-117.5,115,205,212.5,-220,212.5,507.5,SBD
11,Isaac De Villa,,M,1996,26,,,Raw,Men's Open,65.1,66,170,180,-185,180,105,-110,-110,105,190,205,-220,205,490,SBD
12,Ramil Javier,,M,1989,34,,,Raw,Men's Open,64.35,66,150,155,157.5,157.5,85,90,92.5,92.5,200,210,217.5,217.5,467.5,SBD
13,Junel Anthony Go,,M,1998,24,,,Raw,Men's Open,64.7,66,140,150,-160,150,95,100,-105,100,180,195,-205,195,445,SBD
14,Dominic Arthur Domingo,,M,1999,24,,,Raw,Men's Open,63.4,66,145,155,-162.5,155,-92.5,95,-100,95,170,182.5,-187.5,182.5,432.5,SBD
15,Juanito Enrico Edrada,,M,1997,25,,,Raw,Men's Open,64.45,66,135,145,160,160,95,-105,-105,95,155,157.5,170,170,425,SBD
16,Jan Rebong,,M,1993,30,,,Raw,Men's Open,65.2,66,-120,120,-130,120,85,-90,-90,85,170,180,192.5,192.5,397.5,SBD
DQ,Prince Bulagao,,M,1997,25,,,Raw,Men's Open,64.55,66,175,-185,-185,175,-120,-120,-120,,265,272.5,-282.5,272.5,,SBD
DQ,Yves Garcia,,M,1991,31,,,Raw,Men's Open,,66,,,,,,,,,,,,,,SBD
1,Ryant Erwin Relos,,M,1997,26,,,Raw,Men's Open,70.8,74,210,220,230,230,160,166,170,170,255,262.5,-265,262.5,662.5,SBD
2,Robert Diel Abdao,,M,2000,22,,,Raw,Men's Open,72.85,74,205,215,217.5,217.5,120,125,127.5,127.5,235,245,255,255,600,SBD
3,Eldren Flores,,M,1990,32,,,Raw,Men's Open,72.95,74,180,195,205,205,115,120,125,125,255,-270,-270,255,585,SBD
4,Casey-Roy Tamparong,,M,1990,33,,,Raw,Men's Open,69.7,74,197.5,205,-207.5,205,125,130,-135,130,235,242.5,-255,242.5,577.5,SBD
5,Marco Paolo Ferrer,,M,1990,32,,,Raw,Men's Open,73.35,74,195,-202.5,205,205,105,110,-112.5,110,235,242.5,250,250,565,SBD
6,Ericson Capillan,,M,1999,23,,,Raw,Men's Open,73.3,74,-185,190,-200,190,125,135,-140,135,225,235,-245,235,560,SBD
7,Bill Clarence Liao,,M,1995,28,,,Raw,Men's Open,73.05,74,185,187.5,-212.5,187.5,107.5,115,120,120,225,240,-252.5,240,547.5,SBD
8,Benedict Mario Clemente,,M,1993,29,,,Raw,Men's Open,73.75,74,185,-197.5,200,200,100,107.5,112.5,112.5,220,230,235,235,547.5,SBD
9,Justin Asinas,,M,1993,29,,,Raw,Men's Open,72.5,74,185,-187.5,-205,185,120,125,-130,125,220,227.5,232.5,232.5,542.5,SBD
10,Gabe Japlos,,M,1997,25,,,Raw,Men's Open,74,74,165,-167.5,175,175,122.5,127.5,130,130,195,205,212.5,212.5,517.5,SBD
11,Thom Salamat,,M,1994,29,,,Raw,Men's Open,72.3,74,175,185,190,190,112.5,117.5,122.5,122.5,190,202.5,-212.5,202.5,515,SBD
12,Christian Mendoza,,M,1987,35,,,Raw,Men's Open,72.65,74,165,175,-185,175,102.5,105,-107.5,105,-225,225,-230,225,505,SBD
13,Vincent Jeremy Antonio,,M,1997,26,,,Raw,Men's Open,73.65,74,160,170,177.5,177.5,105,110,-115,110,190,205,-210,205,492.5,SBD
14,Ralph Anthony Reyes,,M,1993,30,,,Raw,Men's Open,72.45,74,160,167.5,172.5,172.5,100,107.5,-112.5,107.5,200,210,-215,210,490,SBD
15,Jack Ryan Lloyd Buenaventura,,M,1994,28,,,Raw,Men's Open,69.7,74,155,162.5,-165,162.5,112.5,117.5,-120,117.5,187.5,195,202.5,202.5,482.5,SBD
16,Hendrick Sweger Bolona,,M,1991,31,,,Raw,Men's Open,72.55,74,170,185,-190,185,85,90,95,95,170,185,187.5,187.5,467.5,SBD
17,Jose Lorenzo Anacay,,M,1989,33,,,Raw,Men's Open,73.9,74,-150,150,155,155,90,95,100,100,185,197.5,205,205,460,SBD
18,Carlos Danielle Pimentel,,M,1998,25,,,Raw,Men's Open,71.2,74,132.5,137.5,142.5,142.5,90,95,100,100,170,180,185,185,427.5,SBD
19,Leroi Nino Lacaba,,M,1997,26,,,Raw,Men's Open,71.6,74,145,155,160,160,80,85,92.5,92.5,160,175,-182.5,175,427.5,SBD
20,Rene Ceasar Operio,,M,1992,30,,,Raw,Men's Open,72.65,74,125,132.5,140,140,77.5,82.5,-87.5,82.5,160,170,177.5,177.5,400,SBD
21,Joshua Exequiel Cabrera,,M,1999,24,,,Raw,Men's Open,72.6,74,120,130,140,140,70,75,-85,75,130,-145,145,145,360,SBD
DQ,James Emmanuel Sy,,M,2001,22,,,Raw,Men's Open,73.25,74,225,235,-245,235,120,130,-135,130,-285,-285,-285,,,SBD
1,Mark Jason Galauran,,M,2002,20,,,Raw,Men's Open,81.6,83,232.5,250,-252.5,250,150,160,-170.5,160,260,-280,280,280,690,SBD
2,Jan Nicole Cuevas,,M,1995,28,,,Raw,Men's Open,81.5,83,180,190,197.5,197.5,135,142.5,150,150,235,247.5,257.5,257.5,605,SBD
3,Irvinne Fritz Espinosa,,M,2000,22,,,Raw,Men's Open,82.58,83,195,-202.5,-202.5,195,122.5,132.5,-137.5,132.5,260,272.5,-285,272.5,600,SBD
4,Angelo Noe Panerio,,M,2000,23,,,Raw,Men's Open,79.3,83,215,227.5,-232.5,227.5,115,120,-122.5,120,230,240,-257.5,240,587.5,SBD
5,Arjay Calingacion,,M,1993,30,,,Raw,Men's Open,80.7,83,205,217.5,225,225,112.5,122.5,-132.5,122.5,230,240,-250,240,587.5,SBD
6,Lyle Adriene Manuel,,M,1994,29,,,Raw,Men's Open,82.1,83,200,207.5,212.5,212.5,117.5,125,-130,125,235,245,-255,245,582.5,SBD
7,Calvin Edward Coronado,,M,1999,24,,,Raw,Men's Open,81.4,83,190,197.5,-202.5,197.5,120,125,130,130,240,-250,250,250,577.5,SBD
8,Jose Raphael Japlos,,M,1998,24,,,Raw,Men's Open,82.1,83,167.5,177.5,185,185,122.5,127.5,132.5,132.5,235,245,255,255,572.5,SBD
9,Marco Angelo Ocampo,,M,1991,32,,,Raw,Men's Open,79.9,83,182.5,192.5,200,200,120,125,130,130,230,240,-242.5,240,570,SBD
10,Mark Ranielle Dy,,M,1998,25,,,Raw,Men's Open,81.85,83,195,202.5,207.5,207.5,130,135,137.5,137.5,212.5,222.5,-230,222.5,567.5,SBD
11,Jhannel Parchamento,,M,1999,23,,,Raw,Men's Open,81.6,83,190,192.5,210,210,120,-125,125,125,215,-220,230,230,565,SBD
12,Beau McKinzie,,M,1992,30,,,Raw,Men's Open,81.58,83,180,182.5,202.5,202.5,120,122.5,135,135,215,225,-235,225,562.5,SBD
13,Mark Wayne Abraham Uy,,M,1996,27,,,Raw,Men's Open,80.8,83,-180,180,195,195,120,130,-137.5,130,210,220,232.5,232.5,557.5,SBD
14,Joseph Vincent Jerusalem,,M,2003,20,,,Raw,Men's Open,82.1,83,197.5,205,-210,205,110,115,-120,115,-220,220,232.5,232.5,552.5,SBD
15,Timothy Roxas,,M,1996,26,,,Raw,Men's Open,82.35,83,195,205,210,210,115,120,122.5,122.5,-197.5,205,210,210,542.5,SBD
16,Jason Joseph B. Galvez,,M,1995,27,,,Raw,Men's Open,80.4,83,172.5,180,187.5,187.5,105,112.5,-115,112.5,-222.5,222.5,235,235,535,SBD
17,Aaron Joshua Figuera,,M,2000,22,,,Raw,Men's Open,75.7,83,180,190,-200,190,107.5,115,120,120,192.5,205,215,215,525,SBD
18,Michael Jewel Jimenez,,M,1996,26,,,Raw,Men's Open,78.3,83,165,175,180,180,95,-105,-105,95,215,225,-235,225,500,SBD
19,Jan Nikolai R. Sagmayao,,M,1999,23,,,Raw,Men's Open,80.15,83,150,160,170,170,90,100,105,105,180,200,210,210,485,SBD
20,Miguel Quiambao,,M,1994,28,,,Raw,Men's Open,81.95,83,150,157.5,-162.5,157.5,100,105,-110,105,190,200,-210,200,462.5,SBD
21,Psalm Jemuel Dalumpines,,M,1994,28,,,Raw,Men's Open,,83,165,170,-175,170,90,-92.5,,90,180,187.5,192.5,192.5,452.5,SBD
22,Paolo Macatangay,,M,2000,23,,,Raw,Men's Open,75.3,83,147.5,-157.5,157.5,157.5,77.5,80,82.5,82.5,165,180,200,200,440,SBD
23,John Arvie Limbo,,M,1992,30,,,Raw,Men's Open,76.15,83,135,140,147.5,147.5,97.5,102.5,-107.5,102.5,170,180,187.5,187.5,437.5,SBD
24,Peter Paul Budol,,M,1998,25,,,Raw,Men's Open,78.35,83,145,155,-162.5,155,77.5,-85,,77.5,175,185,-195,185,417.5,SBD
25,Josua Pangasinan,,M,1991,31,,,Raw,Men's Open,80.05,83,132.5,-137.5,137.5,137.5,65,70,75,75,142.5,147.5,155,155,367.5,SBD
DQ,Gilbert Jose Mangoba,,M,1988,34,,,Raw,Men's Open,,83,,,,,,,,,,,,,,SBD
DQ,Bryan Angelo Verzosa,,M,1999,24,,,Raw,Men's Open,81.45,83,162.5,-167.5,,162.5,120,-122.5,122.5,122.5,-205,-205,-205,,,SBD
DQ,Quintin III Abat,,M,1989,33,,,Raw,Men's Open,81.7,83,-180,-180,-180,,-140,-140,-140,,-220,,,,,SBD
DQ,Richard Oreiro,,M,1988,35,,,Raw,Men's Open,,83,,,,,,,,,,,,,,SBD
DQ,Kenneth Joshua Bulahan,,M,1988,34,,,Raw,Men's Open,,83,,,,,,,,,,,,,,SBD
DQ,Jemuel John Sorima,,M,1993,29,,,Raw,Men's Open,,83,-210,-210,-210,,147.5,-155,-155,147.5,250,-270,-270,250,,SBD
1,Nestor Jr. Redulla,,M,1995,28,,,Raw,Men's Open,92.55,93,255,267.5,-270,267.5,-145,150,-152.5,150,280,295,-300,295,712.5,SBD
2,Cinder Bayongasan,,M,1996,26,,,Raw,Men's Open,91.45,93,235,245,252.5,252.5,-137.5,142.5,-145,142.5,285,295,305,305,700,SBD
3,John Alejo Nefalar,,M,2002,20,,,Raw,Men's Open,90.95,93,227.5,237.5,245.5,245.5,147.5,155,160,160,245,260,270.5,270.5,676,SBD
4,Jeffrey James Portugal,,M,1996,26,,,Raw,Men's Open,92.05,93,230,-240,245,245,130,135,-137.5,135,295,-307.5,-307.5,295,675,SBD
5,Miguel Ni�o Velasco,,M,1996,27,,,Raw,Men's Open,87.5,93,227.5,237.5,-245,237.5,142.5,147.5,150,150,245,255,260,260,647.5,SBD
6,Carlos Buenvito Sison Janorabon,,M,2005,18,,,Raw,Men's Open,92.65,93,215,222.5,230,230,125,130,-135,130,235,245,250,250,610,SBD
7,Jeb Andrade,,M,1994,28,,,Raw,Men's Open,91.8,93,210,220,225,225,115,117.5,-122.5,117.5,230,-235,,230,572.5,SBD
8,Carl Benedict Creer,,M,1998,24,,,Raw,Men's Open,84.25,93,175,182.5,-187.5,182.5,130,-135,135,135,235,242.5,-250,242.5,560,SBD
9,Omar Catamora,,M,1987,35,,,Raw,Men's Open,89.1,93,170,180,200,200,115,125,130,130,210,220,-230,220,550,SBD
10,Johaimin Panalondong,,M,1999,24,,,Raw,Men's Open,91.65,93,182.5,190,200,200,112.5,117.5,122.5,122.5,202.5,212.5,-217.5,212.5,535,SBD
11,Kevin Karl Deocampo,,M,1999,23,,,Raw,Men's Open,92.2,93,190,-205,-205,190,120,-130,-130,120,200,215,-227.5,215,525,SBD
12,Ivan Genoguin,,M,2000,22,,,Raw,Men's Open,86.4,93,185,-192.5,192.5,192.5,95,107.5,-112.5,107.5,197.5,205,212.5,212.5,512.5,SBD
13,Christian dela Bajan,,M,1991,32,,,Raw,Men's Open,88.8,93,170,175,-182.5,175,77.5,80,85,85,180,185,190,190,450,SBD
14,Daryl Alein Diaz,,M,1997,26,,,Raw,Men's Open,90.25,93,145,152.5,-157.5,152.5,82.5,87.5,-90,87.5,165,170,-175,170,410,SBD
DQ,Job Nualda,,M,1996,26,,,Raw,Men's Open,85.5,93,-180,-185,-185,,110,117.5,-122.5,117.5,210,-220,225,225,,SBD
1,Emilio Lorenzo Simeon Florendo,,M,1998,24,,,Raw,Men's Open,102.1,105,-260,-260,260,260,150,160,165,165,265,280,-300.5,280,705,SBD
2,Ramzel Teodosio,,M,1996,27,,,Raw,Men's Open,102.9,105,-250,-250,250,250,170,-180.5,-180.5,170,250,270,-275,270,690,SBD
3,Nathaniel Nepomuceno,,M,1998,25,,,Raw,Men's Open,96.75,105,220,232.5,237.5,237.5,145,152.5,-157.5,152.5,215,227.5,235,235,625,SBD
4,Jalen Cytienne Cruz,,M,2000,22,,,Raw,Men's Open,99.55,105,220,-227.5,230,230,127.5,132.5,-137.5,132.5,250,-260,262.5,262.5,625,SBD
5,Wesley Roi Equila,,M,1998,25,,,Raw,Men's Open,96.6,105,190,210,-215,210,-135,-135,135,135,250,-270,-270,250,595,SBD
6,Romar Natividad,,M,1980,43,,,Raw,Men's Open,96.7,105,205,-215,-220,205,130,-140,140,140,240,250,-272.5,250,595,SBD
7,Jomari Esmenda,,M,1994,29,,,Raw,Men's Open,95.85,105,210,220,-235,220,120,130,-137.5,130,210,225,-240,225,575,SBD
8,Hughann Plucena,,M,1997,26,,,Raw,Men's Open,98.9,105,165,170,185,185,135,142.5,-147.5,142.5,220,232.5,-237.5,232.5,560,SBD
9,Denzehl Siegfred Dacuyan,,M,1994,28,,,Raw,Men's Open,101.1,105,-180,180,185,185,110,112.5,-115,112.5,230,-240,-240,230,527.5,SBD
10,Jeremy Lo,,M,1998,24,,,Raw,Men's Open,98.05,105,-162.5,162.5,180,180,-125,125,132.5,132.5,195,207.5,-220,207.5,520,SBD
11,John Paul Bautista,,M,1999,23,,,Raw,Men's Open,101.95,105,165,180,182.5,182.5,100,-105,-105,100,205,217.5,230,230,512.5,SBD
12,William Mcgowen,,M,1948,75,,,Raw,Men's Open,94.3,105,-70,70,75,75,60,-62.5,62.5,62.5,-140,140,-145,140,277.5,SBD
DQ,Victor Luis Del Corro,,M,1997,25,,,Raw,Men's Open,99.2,105,-200,-200,-200,,140,-150,-150,140,230,-240,-240,230,,SBD
DQ,Jerremiah Molina,,M,1984,39,,,Raw,Men's Open,101.4,105,,,,,,,,,,,,,,SBD
DQ,Derek Espinosa,,M,1993,30,,,Raw,Men's Open,,105,,,,,,,,,,,,,,SBD
DQ,Cyril Joshua Tigranes,,M,1999,23,,,Raw,Men's Open,,105,,,,,,,,,,,,,,SBD
1,Ross Emanuel Teodosio,,M,2002,21,,,Raw,Men's Open,118.4,120,290,310,-320,310,165,175,-180,175,290,300,305,305,790,SBD
2,Joshua Reambonanza,,M,1997,25,,,Raw,Men's Open,117.85,120,265,285,300,300,165,-175,-175,165,250,300,-325,300,765,SBD
3,Ramil Zalamea,,M,1992,30,,,Raw,Men's Open,114.7,120,245,255,265,265,142.5,147.5,150,150,275,-300,-300,275,690,SBD
4,Mark Espino,,M,1992,31,,,Raw,Men's Open,118.4,120,260,-275,275,275,135,-145,-145,135,220,235,242.5,242.5,652.5,SBD
5,Nikko Jorel Marcelo,,M,1991,31,,,Raw,Men's Open,110.35,120,225,235,245,245,127.5,132.5,137.5,137.5,225,235,-240,235,617.5,SBD
6,Romulo Marco Sales,,M,1978,44,,,Raw,Men's Open,107,120,-200,211,215,215,137.5,142.5,145,145,215,222.5,-225,222.5,582.5,SBD
7,Ivan Thorin Mantilla,,M,1983,39,,,Raw,Men's Open,108.7,120,180,190,-195,190,120,127.5,-130,127.5,230,235.5,-240,235.5,553,SBD
8,Jann Daniel Dagusen,,M,1995,28,,,Raw,Men's Open,118.9,120,192.5,202.5,210,210,115,122.5,127.5,127.5,200,210,215,215,552.5,SBD
9,George Carlos Pastor,,M,1988,34,,,Raw,Men's Open,112.3,120,200,207.5,-217.5,207.5,100,105,110,110,220,230,-235,230,547.5,SBD
10,Jeremiah Buenafe,,M,1997,25,,,Raw,Men's Open,111.85,120,185,195,200,200,122.5,-127.5,-127.5,122.5,220,-230,-230,220,542.5,SBD
11,Ralph Earvin Monsales,,M,1989,33,,,Raw,Men's Open,108.1,120,200,207.5,-212.5,207.5,115,125,-130,125,-205,205,-207.5,205,537.5,SBD
12,Johann Robin Yee,,M,2002,20,,,Raw,Men's Open,111.5,120,182.5,192.5,200,200,110,117.5,122.5,122.5,185,195,205,205,527.5,SBD
13,Krister Marti Matriano,,M,1989,33,,,Raw,Men's Open,115,120,160,167.5,175,175,100,105,110,110,182.5,195,205,205,490,SBD
1,Raymond Debuque,,M,1993,29,,,Raw,Men's Open,128.6,120+,230,250,270,270,185,-187.5,-187.5,185,280,305,-320,305,760,SBD
2,Vicente Paolo Alcober,,M,1998,25,,,Raw,Men's Open,138.4,120+,240,250,255,255,127.5,132.5,137.5,137.5,260,270,-280,270,662.5,SBD
3,Noel Zaballero,,M,1995,28,,,Raw,Men's Open,144,120+,227.5,235,240,240,135,142.5,-145,142.5,252.5,265,270,270,652.5,SBD
4,Cyril Jose Jambalos,,M,1994,29,,,Raw,Men's Open,129.5,120+,210,230,-235,230,120,127.5,130,130,205,215,-235,215,575,SBD
1,Ernest Marshalle Melindo,,M,2006,16,,,Raw,Men's Sub-Junior,51.6,53,95,105,115,115,70,75,80,80,100,110,125,125,320,SBD
2,Michael Joshua Alarcon,,M,2005,18,,,Raw,Men's Sub-Junior,,53,100,110,-120,110,70,77.5,-80,77.5,125,-130,-130,125,312.5,SBD
3,Gabriel Hipe,,M,2006,16,,,Raw,Men's Sub-Junior,42.5,53,90,100,-102.5,100,52.5,55,60,60,130,137.5,-142.5,137.5,297.5,SBD
4,Rafael Gabriel Rojas,,M,2007,15,,,Raw,Men's Sub-Junior,51.7,53,82.5,90,97.5,97.5,60,62.5,70,70,100,-107.5,-115,100,267.5,SBD
5,Gave Ordonez,,M,2008,14,,,Raw,Men's Sub-Junior,46,53,65,75,82.5,82.5,45,-50,-52.5,45,-107.5,107.5,120,120,247.5,SBD
DQ,Jaime Emmanuel Arroyo,,M,2007,15,,,Raw,Men's Sub-Junior,,53,,,,,,,,,,,,,,SBD
DQ,Gustav Angeles,,M,2009,14,,,Raw,Men's Sub-Junior,,53,,,,,,,,,,,,,,SBD
1,Matthew Caharop,,M,2005,17,,,Raw,Men's Sub-Junior,58.85,59,145,152.5,160,160,82.5,-90,-90,82.5,200,212.5,220,220,462.5,SBD
2,Philip Lawrence Trinidad,,M,2005,17,,,Raw,Men's Sub-Junior,,59,110,120,-130,120,70,-77.5,-77.5,70,120,-135,135,135,325,SBD
3,York Stefan Andales,,M,2005,18,,,Raw,Men's Sub-Junior,57.9,59,85,95,105,105,-45,45,-55,45,120,140,-150,140,290,SBD
1,Linchu Pateo,,M,2005,17,,,Raw,Men's Sub-Junior,65.45,66,150,-155,-163,150,87.5,-90,90,90,-170,180,190,190,430,SBD
2,Gian Paulo Pe�a,,M,2005,18,,,Raw,Men's Sub-Junior,64.4,66,140,147.5,-150,147.5,80,82.5,-87.5,82.5,170,175,180,180,410,SBD
3,Stephen Lalu,,M,2007,15,,,Raw,Men's Sub-Junior,63.65,66,145,155,-162.5,155,65,67.5,70,70,150,162.5,167.5,167.5,392.5,SBD
4,Vaughan Torvic Reyes,,M,2007,16,,,Raw,Men's Sub-Junior,61.05,66,100,102.5,115,115,70,80,85,85,160,170,-180,170,370,SBD
5,Luigi Rey Manlangit,,M,2005,17,,,Raw,Men's Sub-Junior,65.2,66,100,115,-130,115,62.5,-67.5,67.5,67.5,150,162.5,-172.5,162.5,345,SBD
6,James Jerome Bautista,,M,2006,17,,,Raw,Men's Sub-Junior,64,66,90,100,110,110,-60,60,-75,60,-110,-110,110,110,280,SBD
1,John Leorelle Almayda,,M,2005,17,,,Raw,Men's Sub-Junior,72.9,74,177.5,-187.5,,177.5,-115,115,-125,115,210,222.5,230.5,230.5,523,SBD
2,Jerome Landig,,M,2005,17,,,Raw,Men's Sub-Junior,70.8,74,125,135,142.5,142.5,75,85,-90,85,160,170,-180,170,397.5,SBD
3,Matthew Sven Fischeder,,M,2007,16,,,Raw,Men's Sub-Junior,71.6,74,112.5,122.5,130,130,65,-72.5,-72.5,65,135,145,157.5,157.5,352.5,SBD
4,Johan Emmanuel Cancela,,M,2008,15,,,Raw,Men's Sub-Junior,66.05,74,100,105,110,110,65,70,72.5,72.5,145,150,165,165,347.5,SBD
5,Diosdado Arroyo,,M,2007,16,,,Raw,Men's Sub-Junior,71.2,74,-120,120,130,130,50,-55,-60,50,135,145,155,155,335,SBD
DQ,John Angelo Fernando,,M,2005,17,,,Raw,Men's Sub-Junior,68.45,74,-122.5,-122.5,-122.5,,-65,65,-72.5,65,172.5,-185,-187.5,172.5,,SBD
1,James Solapco,,M,2005,17,,,Raw,Men's Sub-Junior,82.95,83,175,191,-195,191,95,100,105,105,205,-215,-215,205,501,SBD
2,Ethan Quirby Colas,,M,2005,17,,,Raw,Men's Sub-Junior,80.6,83,145,152.5,160,160,-85,85,92.5,92.5,190,205,-212.5,205,457.5,SBD
3,Broderick Cruto,,M,2005,17,,,Raw,Men's Sub-Junior,80.8,83,150,160,-165,160,90,95,-97.5,95,175,187.5,-195,187.5,442.5,SBD
4,Jared Keith Romero,,M,2007,15,,,Raw,Men's Sub-Junior,80.1,83,165,-175,-180,165,80,90,-95,90,175,185,-192.5,185,440,SBD
5,Ethan Choa,,M,2005,17,,,Raw,Men's Sub-Junior,76.85,83,135,142.5,147.5,147.5,75,80,85,85,140,152.5,165,165,397.5,SBD
1,Carlos Buenvito Sison Janorabon,,M,2005,18,,,Raw,Men's Sub-Junior,92.65,93,215,222.5,230,230,125,130,-135,130,235,245,250,250,610,SBD
2,Juliuz Miguel Maravilla,,M,2005,17,,,Raw,Men's Sub-Junior,91.08,93,195,-210,210,210,110,-120,-120,110,195,205,-215,205,525,SBD
3,Paul Shem Bayongasan,,M,2005,17,,,Raw,Men's Sub-Junior,88.45,93,165,172.5,182.5,182.5,90,92.5,97.5,97.5,207.5,217.5,230,230,510,SBD
4,Jericho Manansala,,M,2005,18,,,Raw,Men's Sub-Junior,90.45,93,120,130,-140,130,60,67.5,-70,67.5,160,172.5,185,185,382.5,SBD
1,Nicolo Drey Pascual,,M,2007,16,,,Raw,Men's Sub-Junior,104.4,105,145,155,-172.5,155,65,70,75,75,150,160,170,170,400,SBD
